v_products_model	v_products_image	v_products_name_1	v_products_description_1	v_products_url_1	v_products_name_43	v_products_description_43	v_products_url_43	v_specials_price	v_specials_date_avail	v_specials_expires_date	v_products_price	v_products_weight	v_date_avail	v_date_added	v_products_quantity	v_attribute_options_id_1	v_attribute_options_name_1_1	v_attribute_options_name_1_43	v_attribute_values_id_1_1	v_attribute_values_price_1_1	v_attribute_values_name_1_1_1	v_attribute_values_name_1_1_43	v_attribute_values_id_1_2	v_attribute_values_price_1_2	v_attribute_values_name_1_2_1	v_attribute_values_name_1_2_43	v_attribute_values_id_1_3	v_attribute_values_price_1_3	v_attribute_values_name_1_3_1	v_attribute_values_name_1_3_43	v_manufacturers_name	v_categories_name_1	v_categories_name_2	v_categories_name_3	v_categories_name_4	v_categories_name_5	v_categories_name_6	v_categories_name_7	v_tax_class_title	v_status	EOREOR
0801_1000	2006/05/0801_1000.jpg				N.N.	Unterkategorie 01						0				1		Bildgröße	1	10.0000		10 x 15 cm	2	20.0000		Din A4	3	30.0000		Din A3		Testkategorie 01	Unterkategorie 01	Unterkategorie 011					--kein--	1	EOREOR
0801_1001	2006/05/0801_1001.jpg				N.N.	Unterkategorie 01						0				1		Bildgröße	1	10.0000		10 x 15 cm	2	20.0000		Din A4	3	30.0000		Din A3		Testkategorie 01	Unterkategorie 01	Unterkategorie 011					--kein--	1	EOREOR
0801_1002	2006/05/0801_1002.jpg				N.N.	Unterkategorie 01						0				1		Bildgröße	1	10.0000		10 x 15 cm	2	20.0000		Din A4	3	30.0000		Din A3		Testkategorie 01	Unterkategorie 01	Unterkategorie 011					--kein--	1	EOREOR
0801_1003	2006/05/0801_1003.jpg				N.N.	Unterkategorie 01						0				1		Bildgröße	1	10.0000		10 x 15 cm	2	20.0000		Din A4	3	30.0000		Din A3		Testkategorie 01	Unterkategorie 01	Unterkategorie 011					--kein--	1	EOREOR
0801_1004	2006/05/0801_1004.jpg				N.N.	Unterkategorie 01						0				1		Bildgröße	1	10.0000		10 x 15 cm	2	20.0000		Din A4	3	30.0000		Din A3		Testkategorie 01	Unterkategorie 01	Unterkategorie 011					--kein--	1	EOREOR
0801_1005	2006/05/0801_1005.jpg				N.N.	Unterkategorie 01						0				1		Bildgröße	1	10.0000		10 x 15 cm	2	20.0000		Din A4	3	30.0000		Din A3		Testkategorie 01	Unterkategorie 01	Unterkategorie 011					--kein--	1	EOREOR
0801_1006	2006/05/0801_1006.jpg				N.N.	Unterkategorie 01						0				1		Bildgröße	1	10.0000		10 x 15 cm	2	20.0000		Din A4	3	30.0000		Din A3		Testkategorie 01	Unterkategorie 01	Unterkategorie 011					--kein--	1	EOREOR
0801_1007	2006/05/0801_1007.jpg				N.N.	Unterkategorie 01						0				1		Bildgröße	1	10.0000		10 x 15 cm	2	20.0000		Din A4	3	30.0000		Din A3		Testkategorie 01	Unterkategorie 01	Unterkategorie 011					--kein--	1	EOREOR
0801_1008	2006/05/0801_1008.jpg				N.N.	Unterkategorie 01						0				1		Bildgröße	1	10.0000		10 x 15 cm	2	20.0000		Din A4	3	30.0000		Din A3		Testkategorie 01	Unterkategorie 01	Unterkategorie 011					--kein--	1	EOREOR
0801_1009	2006/05/0801_1009.jpg				N.N.	Unterkategorie 01						0				1		Bildgröße	1	10.0000		10 x 15 cm	2	20.0000		Din A4	3	30.0000		Din A3		Testkategorie 01	Unterkategorie 01	Unterkategorie 011					--kein--	1	EOREOR
